canonical_id,source,original_ids,title,authors,year,doi,abstract,pdf_url,url,language,stage_title_abstract_decision,stage_title_abstract_label,stage_title_abstract_evidence,stage_full_text_decision,stage_full_text_label,stage_full_text_evidence,task_category,confidence,bias_score,bias_flags
crossref:10.1109/bci51272.2021.9385333,CrossRef,crossref:10.1109/bci51272.2021.9385333,Subject-Independent Object Classification Based on Convolutional Neural Network from EEG Signals,Jenifer Kalafatovich;Minji Lee,2021.0,10.1109/bci51272.2021.9385333,,https://doi.org/10.1109/bci51272.2021.9385333,https://doi.org/10.1109/bci51272.2021.9385333,English,Include,,Subject-Independent Object Classification Based on Convolutional Neural Network from EEG Signals,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/iww-bci.2017.7858158,CrossRef,crossref:10.1109/iww-bci.2017.7858158,Learning suite of kernel feature spaces enhances SMR-based EEG-BCI classification,Berdakh Abibullaev,2017.0,10.1109/iww-bci.2017.7858158,,,https://doi.org/10.1109/iww-bci.2017.7858158,English,Exclude,Outside date range,Learning suite of kernel feature spaces enhances SMR-based EEG-BCI classification,,,,,0.95,0.6,
crossref:10.1088/1741-2552/ac4430,CrossRef,crossref:10.1088/1741-2552/ac4430,A 1D CNN for high accuracy classification and transfer learning in motor imagery EEG-based brain-computer interface,F Mattioli;C Porcaro;G Baldassarre,2021.0,10.1088/1741-2552/ac4430,"<jats:title>Abstract</jats:title>
               <jats:p>
                  <jats:italic>Objective.</jats:italic> Brain-computer interface (BCI) aims to establish communication paths between the brain processes and external devices. Different methods have been used to extract human intentions from electroencephalography (EEG) recordings. Those based on motor imagery (MI) seem to have a great potential for future applications. These approaches rely on the extraction of EEG distinctive patterns during imagined movements. Techniques able to extract patterns from raw signals represent an important target for BCI as they do not need labor-intensive data pre-processing. <jats:italic>Approach.</jats:italic> We propose a new approach based on a 10-layer one-dimensional convolution neural network (1D-CNN) to classify five brain states (four MI classes plus a ‘baseline’ class) using a data augmentation algorithm and a limited number of EEG channels. In addition, we present a transfer learning method used to extract critical features from the EEG group dataset and then to customize the model to the single individual by training its late layers with only 12-min individual-related data. <jats:italic>Main results.</jats:italic> The model tested with the ‘EEG Motor Movement/Imagery Dataset’ outperforms the current state-of-the-art models by achieving a <jats:inline-formula>
                     <jats:tex-math/>
                     <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" overflow=""scroll"">
                        <mml:mrow>
                           <mml:mn>99.38</mml:mn>
                           <mml:mi>%</mml:mi>
                        </mml:mrow>
                     </mml:math>
                     <jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""jneac4430ieqn1.gif"" xlink:type=""simple""/>
                  </jats:inline-formula> accuracy at the group level. In addition, the transfer learning approach we present achieves an average accuracy of <jats:inline-formula>
                     <jats:tex-math/>
                     <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" overflow=""scroll"">
                        <mml:mrow>
                           <mml:mn>99.46</mml:mn>
                           <mml:mi>%</mml:mi>
                        </mml:mrow>
                     </mml:math>
                     <jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""jneac4430ieqn2.gif"" xlink:type=""simple""/>
                  </jats:inline-formula>. <jats:italic>Significance.</jats:italic> The proposed methods could foster the development of future BCI applications relying on few-channel portable recording devices and individual-based training.</jats:p>",https://doi.org/10.1088/1741-2552/ac4430,https://doi.org/10.1088/1741-2552/ac4430,English,Include,,A 1D CNN for high accuracy classification and transfer learning in motor imagery EEG-based brain-computer interface,Exclude,No performance metrics reported,No metrics found in full text,,0.9,0.6,
crossref:10.1109/bci48061.2020.9061622,CrossRef,crossref:10.1109/bci48061.2020.9061622,Multi-Class Classification of Motor Imagery EEG Signals Using Image-Based Deep Recurrent Convolutional Neural Network,Ward Fadel;Csaba Kollod;Moutz Wahdow;Yahya Ibrahim;Istvan Ulbert,2020.0,10.1109/bci48061.2020.9061622,,https://doi.org/10.1109/bci48061.2020.9061622,https://doi.org/10.1109/bci48061.2020.9061622,English,Include,,Multi-Class Classification of Motor Imagery EEG Signals Using Image-Based Deep Recurrent Convolutional Neural Network,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/iww-bci.2019.8737343,CrossRef,crossref:10.1109/iww-bci.2019.8737343,Classification of Working Memory Performance from EEG with Deep Artificial Neural Networks,Youngchul Kwak;Woo-Jin Song;Seong-Eun Kim,2019.0,10.1109/iww-bci.2019.8737343,,https://doi.org/10.1109/iww-bci.2019.8737343,https://doi.org/10.1109/iww-bci.2019.8737343,English,Include,,Classification of Working Memory Performance from EEG with Deep Artificial Neural Networks,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/bci57258.2023.10078681,CrossRef,crossref:10.1109/bci57258.2023.10078681,Classification of Distraction Levels Using Hybrid Deep Neural Networks From EEG Signals,Dae-Hyeok Lee;Sung-Jin Kim;Yeon-Woo Choi,2023.0,10.1109/bci57258.2023.10078681,,https://doi.org/10.1109/bci57258.2023.10078681,https://doi.org/10.1109/bci57258.2023.10078681,English,Include,,Classification of Distraction Levels Using Hybrid Deep Neural Networks From EEG Signals,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.32657/10356/166652,CrossRef,crossref:10.32657/10356/166652,Electroencephalography (EEG) brain computer interface (BCI) for mental states detection,;Aung Phyo Wai Aung,,10.32657/10356/166652,,,https://doi.org/10.32657/10356/166652,English,Exclude,Not classification-focused,Electroencephalography (EEG) brain computer interface (BCI) for mental states detection,,,,,0.85,0.6,
crossref:10.1109/bci51272.2021.9385289,CrossRef,crossref:10.1109/bci51272.2021.9385289,Meta-learning: Towards Fast Adaptation in Multi-Subject EEG Classification,Seungjin Choi,2021.0,10.1109/bci51272.2021.9385289,,https://doi.org/10.1109/bci51272.2021.9385289,https://doi.org/10.1109/bci51272.2021.9385289,English,Include,,Meta-learning: Towards Fast Adaptation in Multi-Subject EEG Classification,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/bci48061.2020.9061635,CrossRef,crossref:10.1109/bci48061.2020.9061635,Transform based feature construction utilizing magnitude and phase for convolutional neural network in EEG signal classification,Jeonghyun Kim;Yongkoo Park;Wonzoo Chung,2020.0,10.1109/bci48061.2020.9061635,,https://doi.org/10.1109/bci48061.2020.9061635,https://doi.org/10.1109/bci48061.2020.9061635,English,Include,,Transform based feature construction utilizing magnitude and phase for convolutional neural network in EEG signal classification,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/bci48061.2020.9061651,CrossRef,crossref:10.1109/bci48061.2020.9061651,Deep learning classification features visualization for arm movement brain-computer interface,Seokbeen Lim;Dong Pyo Jang;Hoseok Choi,2020.0,10.1109/bci48061.2020.9061651,,https://doi.org/10.1109/bci48061.2020.9061651,https://doi.org/10.1109/bci48061.2020.9061651,English,Include,,Deep learning classification features visualization for arm movement brain-computer interface,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
