name,author,source
Surfing beta burst waveforms to improve motor imagery-based BCI.,Sotirios Papadopoulos;Ludovic Darmet;Maciej J Szul;Marco Congedo;James J Bonaiuto;Jérémie Mattout,PubMed
Domain-Incremental Learning Framework for Continual Motor Imagery EEG Classification Task.,Dan Li;Hye-Bin Shin;Kang Yin;Seong-Whan Lee,PubMed
Exploring Schizophrenia Classification in fMRI Data: A Common Spatial Patterns(CSP) Approach for Enhanced Feature Extraction and Classification.,M Moein Esfahani;Robyn Miller;V D Calhoun,PubMed
Time Window Optimization for Riemannian Geometry-based Motor Imagery EEG Classification.,Fanbo Zhuo;Bo Lv;Fengzhen Tang,PubMed
Profiling a Raspberry Pi-Based Motor Imagery Classification to Facilitate At-Home BCI for Children with Disabilities.,Oluwagbenga Paul Idowu;Eli Kinney-Lang;Adam Gulamhusein;Brian Irvine;Adam Kirton;Hatem Abou-Zeid,PubMed
EEG Pattern Comparison and Classification Performance of Motor Imagery Between Supernumerary and Inherent Limbs.,Zhuang Wang;Yuan Liu;Wenlai Wu;Shuaifei Huang;Xingwei An;Dong Ming,PubMed
Baseline-Guided Representation Learning for Noise-Robust EEG Signal Classification.,Elissa Yanting Lim;Kang Yin;Hye-Bin Shin;Seong-Whan Lee,PubMed
A Study on Changes in Estimation Accuracy for EEG Data During Calibration and Operation in MI-BCI.,Takuya Kanda;Takashi Isezaki;Kengo Okitsu,PubMed
Enhanced BCI Performance using Diffusion Model for EEG Generation.,Yucun Zhong;Lin Yao;Yueming Wang,PubMed
Channel- and Label-Flip Data Augmentation for Motor Imagery-Based Brain-Computer Interfaces.,Takayuki Hoshino;Suguru Kanoga;Atsushi Aoyama,PubMed
Benchmarking motor imagery algorithms for pediatric users of brain-computer interfaces.,Brian Irvine;Hatem Abou-Zeid;Adam Kirton;Eli Kinney-Lang,PubMed
